ceRNA Pair,SHAP Value (Mean Abs),Metastasis Site
MUC13_SOX9,0.0015272392326294,Bone
PFN2_HK1,0.0011793539414418,Bone
KLKB1_ADGRE2,0.0011250412435066,Bone
SCAF4_ATXN3,0.0010050146248155,Bone
RGS10_KCNE4,0.0009731196516863,Bone
ZNF611_EGLN1,0.0009678272788114,Bone
EPS8L3_EYA4,0.0009537013220616,Bone
MEP1A_AGMAT,0.0009470296335949,Bone
TMCC1_SLC25A44,0.0009310360683326,Bone
METTL22_NDUFA6,0.0009265061198041,Bone
ACO2_HLA-DMB,0.0025413118328404,Brain
FKBP15_COL5A2,0.0024014534395237,Brain
HMGCS1_KLHL24,0.0021962975609156,Brain
APOL3_CEBPA,0.0021860005515967,Brain
HLA-DRA_SPCS2,0.002057927790514,Brain
ITGA5_HLA-B,0.0020543469610432,Brain
MIER2_MMP2,0.0020437101691955,Brain
EGLN1_ELL2,0.0018949945148665,Brain
TDRD3_KLHL11,0.0018591569873496,Brain
GDF2_KIR2DS4,0.0018414259601075,Brain
CCDC82_JAG1,0.0014957537539626,Liver
RRN3P1_RBBP5,0.0012813869778147,Liver
IGF2BP2_FCF1,0.0012523574436191,Liver
GNL2_EVI5,0.0011949858551621,Liver
SSR1_EIF3A,0.0011642382342568,Liver
RNF19A_GTF2H1,0.0011475356058962,Liver
CELF1_MTRF1,0.0011338143212021,Liver
CELF1_ACSL5,0.0011266881043147,Liver
GPATCH2L_CRIPT,0.0011130993993424,Liver
MUC13_TRIT1,0.0010844543489543,Liver
MDM2_WTAP,0.0021221764858063,Lung
LPCAT1_CTSD,0.0020095192554448,Lung
BTAF1_EPB41,0.0016121388103491,Lung
DZIP3_CTSD,0.0015428511000604,Lung
HTATSF1_SEC22B,0.0015242330185223,Lung
TRAPPC11_GOLT1B,0.0014887128855251,Lung
MAP2_G3BP1,0.0014423810598163,Lung
IFT57_PANX1,0.0014319855405981,Lung
SOCS6_SECISBP2L,0.0013841501870077,Lung
WAPL_XPO4,0.0013733441638171,Lung
